 ,Module Code,,Module Title,Assess Code,Resit Assesment Code,Examiner,Assessment Title,Duration,Methodology,Reviewer,ASMG Monitor,External Examiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28209,LH,LH Nature-Insp Search + Opt,A31669,A32822,Per Kristian Lehre,Nature-Inspired Search and Optimisation,01:30,Written Unseen,John Bullinaria,Peter Tino,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28211,LM,LM Nat-Inspire Sear + Op Ext,A31671, ,Per Kristian Lehre,Nature-Inspired Search and Optimisation (Extended),01:30,Written Unseen,John Bullinaria,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20416,LH,LH Neural Computation,A23406,A23407,Per Kristian Lehre,Neural Computation,01:30,Written Unseen,Peter Tino,Ian Batten,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 24635,LF,LF Introduct Computer Science,A29007,A29582,Peter Hancox,Introductory Computer Science,03:00,Written Unseen,Hamid Dehghani,Per Kristian Lehre, --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20122,LH,LH Intel Data Analysis,A22838,A22839,Peter Tino,Intelligent Data Analysis,01:30,Written Unseen,Achim Jung,Dave Parker,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20233,LM,LM Intel Data Analysis (Ext),A22985, ,Peter Tino,Intelligent Data Analysis (Extended),01:30,Written Unseen,Achim Jung,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26254,LC,LC ICY Operat Syst + Networks,A30289,A30290,Phil Smith,ICY: Operating Systems and Networks,01:30,Written Unseen,Robert Hendley,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26255,LM,LM Operat Syst + Network (MSc),A30291,A30292,Phil Smith,Operating Systems and Networks (MSc),01:30,Written Unseen,Robert Hendley,Eike Ritter,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26255,LM,LM Operat Syst + Network (MSc),A31343,A30292,Phil Smith,Operating Systems and Networks (MSc) (Special paper),01:30,Written Unseen,Robert Hendley,Eike Ritter,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 25345,LI,LI Professional Computing,A29830,A31772,Phil Smith,Professional Computing,01:30,Written Unseen,Mark Lee,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
